face,xmin,ymin,zmin,xmax,ymax,zmax,cx,cy,cz
Ym,-1685.0000000999516,-1690.0000001,-1450.0000001000146,-1314.9999998999483,-1589.9999999,-69.99999990001353,-1499.99999999995,-1640.0,-760.0000000000141
Ym,-1290.000000099961,-1690.0000001000183,-1445.0000001000112,690.0000001000428,-1589.9999998999617,-1224.9999999000088,-299.9999999999591,-1639.99999999999,-1335.00000000001
Ym,714.9999999000476,-1690.0000000999642,-1450.0000001000067,1031.6666666333826,-1589.9999998999358,-69.99999990000546,873.333333266715,-1639.99999999995,-760.000000000006
Ym,1041.6666666333826,-1690.0000000999642,-1450.0000001000067,1358.3333333667176,-1589.9999998999358,-69.99999990000546,1200.00000000005,-1639.99999999995,-760.000000000006
Ym,1368.3333333667176,-1690.0000000999642,-1450.0000001000067,1685.0000001000526,-1589.9999998999358,-69.99999990000546,1526.6666667333852,-1639.99999999995,-760.000000000006
Ym,-290.0000000999559,-1690.0000000999712,-825.0000001000086,690.0000001000477,-1589.9999998999488,-455.000000000008,200.0000000000459,-1639.99999999996,-640.0000000500083
Ym,-290.0000000999559,-1690.0000000999712,-445.000000000008,690.0000001000477,-1589.9999998999488,-74.99999990000742,200.0000000000459,-1639.99999999996,-259.9999999500077
Xp,1589.9999999000163,-1565.0000000999419,-1450.0000001000064,1690.0000001000437,-1281.6666666999406,-69.99999990000575,1640.00000000003,-1423.3333333999412,-760.0000000000061
Xp,1589.9999999000163,-1271.6666666999406,-1450.0000001000064,1690.0000001000437,-988.3333332999393,-69.99999990000575,1640.00000000003,-1129.99999999994,-760.0000000000061
Xp,1589.9999999000163,-978.3333332999393,-1450.0000001000064,1690.0000001000437,-694.9999998999381,-69.99999990000575,1640.00000000003,-836.6666665999387,-760.0000000000061
Xp,1589.9999998999563,694.9999999000581,-1450.0000001000064,1690.0000000999837,978.3333333000594,-69.99999990000575,1639.99999999997,836.6666666000588,-760.0000000000061
