face,xmin,ymin,zmin,xmax,ymax,zmax,cx,cy,cz
Yp,-128.33333334441363,1599.9999998999706,-1450.0000000999635,228.33333334448162,1700.000000100014,-49.99999989981435,50.00000000003399,1649.9999999999923,-749.9999999998889
Yp,238.33333334448162,1599.9999998999706,-1450.0000000999635,595.0000000333769,1700.000000100014,-49.99999989981435,416.66666668892924,1649.9999999999923,-749.9999999998889
Yp,605.0000000333769,1599.9999998999706,-1450.0000000999635,961.6666667222723,1700.000000100014,-49.99999989981435,783.3333333778246,1649.9999999999923,-749.9999999998889
Yp,971.6666667222723,1599.9999998999706,-1450.0000000999635,1328.3333334111674,1700.000000100014,-49.99999989981435,1150.0000000667198,1649.9999999999923,-749.9999999998889
Yp,1338.3333334111674,1599.9999998999706,-1450.0000000999635,1695.0000001000624,1700.000000100014,-49.99999989981435,1516.6666667556149,1649.9999999999923,-749.9999999998889
Xm,-1700.000000099993,-1595.0000001000003,-1450.0000000999735,-1599.9999998999065,-1238.33333341111,-49.999999899807754,-1649.9999999999498,-1416.666666755555,-749.9999999998906
Xm,-1700.000000099993,-1228.33333341111,-1450.0000000999735,-1599.9999998999065,-871.6666667222198,-49.999999899807754,-1649.9999999999498,-1050.000000066665,-749.9999999998906
Xm,-1700.000000099993,-861.6666667222198,-1450.0000000999735,-1599.9999998999065,-505.00000003332957,-49.999999899807754,-1649.9999999999498,-683.3333333777747,-749.9999999998906
Xm,-1700.000000099993,-495.00000003332957,-1450.0000000999735,-1599.9999998999065,-138.33333334443932,-49.999999899807754,-1649.9999999999498,-316.66666668888445,-749.9999999998906
Xm,-1700.000000099993,-128.33333334443932,-1450.0000000999735,-1599.9999998999065,228.33333334445092,-49.999999899807754,-1649.9999999999498,50.0000000000058,-749.9999999998906
Xm,-1700.000000099993,238.33333334445092,-1450.0000000999735,-1599.9999998999065,595.0000000333412,-49.999999899807754,-1649.9999999999498,416.66666668889604,-749.9999999998906
Xm,-1700.000000099993,605.0000000333412,-1450.0000000999735,-1599.9999998999065,961.6666667222312,-49.999999899807754,-1649.9999999999498,783.3333333777862,-749.9999999998906
Xm,-1700.000000099993,971.6666667222312,-1450.0000000999735,-1599.9999998999065,1328.3333334111217,-49.999999899807754,-1649.9999999999498,1150.0000000666764,-749.9999999998906
