idx,cx,cy,cz,xmin,ymin,zmin,xmax,ymax,zmax,dx,dy,dz,vol_mm3
23,1661.9610899974873,-902.0572483829633,-760.0000000000064,1643.9221798949504,-902.557248482964,-1426.0778201050787,1680.000000100024,-901.5572482829626,-93.922179894934,36.07782020507352,1.0000002000014092,1332.1556402101446,1070.6103118658914
24,1664.0788547183856,-903.3286978069723,-760.0000000000064,1648.157709336747,-903.8286979069729,-1421.8422906632823,1680.000000100024,-902.8286977069716,-98.15770933673046,31.84229076327688,1.0000002000012955,1323.6845813265518,1060.9550778372484
25,1665.387705296076,-899.9999999999393,-760.0000000000063,1650.775410492128,-900.5000000999398,-1419.224589507901,1680.000000100024,-899.4999998999386,-100.7754104921114,29.22458960789595,1.0000002000011818,1318.4491790157897,1054.9878150380098
26,1664.0788547183854,-896.6713021929063,-760.0000000000064,1648.157709336747,-897.171302292907,-1421.8422906632823,1680.0000001000237,-896.1713020929056,-98.15770933673046,31.84229076327665,1.0000002000012955,1323.6845813265518,1060.9550778372493
27,1665.0259478936543,-1362.0572483829624,-760.000000000006,1650.0518956872718,-1362.557248482963,-1419.94810431277,1680.000000100037,-1361.5572482829616,-100.05189568724202,29.948104412765133,1.0000002000012955,1319.896208625528,1056.6371259123478
28,1665.0259478936543,-1357.9427516169153,-760.000000000006,1650.0518956872718,-1358.442751716916,-1419.94810431277,1680.000000100037,-1357.4427515169145,-100.05189568724202,29.948104412765133,1.000000200001523,1319.896208625528,1056.6371259123525
29,1662.908183172756,-1356.6713021929063,-760.000000000006,1645.8163662454754,-1357.171302292907,-1424.1836337545665,1680.0000001000367,-1356.1713020929055,-95.81636624544558,34.18363385456132,1.000000200001523,1328.367267509121,1066.2923599407743
30,1661.5993325950658,-1359.9999999999393,-760.0000000000061,1643.1986650900944,-1360.50000009994,-1426.8013349099476,1680.000000100037,-1359.4999998999385,-93.19866509006462,36.80133500994248,1.000000200001523,1333.602669819883,1072.2596227399501
31,1662.9081831727563,-1363.3286978069723,-760.000000000006,1645.8163662454754,-1363.828697906973,-1424.1836337545665,1680.000000100037,-1362.8286977069715,-95.81636624544558,34.18363385456155,1.000000200001523,1328.367267509121,1066.2923599407761
32,1662.3801441436528,-1362.8315594802514,-760.000000000006,1644.7602881872688,-1363.3315595802521,-1425.239711812773,1680.000000100037,-1362.3315593802506,-94.76028818723901,35.23971191276814,1.000000200001523,1330.479423625534,1068.6997758131258
