idx,face,xmin,ymin,zmin,xmax,ymax,zmax,cx,cy,cz,vol_L
0,Xp,1599.9999999000322,-1600.0000000999905,-1450.0000000999485,1700.0000001000476,-699.9999998999896,-49.9999998999477,1682.7155172414193,-1149.9999999999902,-749.9999999999476,16.70400000000001
3,Xp,1599.9999999000518,699.9999999000096,-1450.0000000999494,1700.000000100068,1600.0000001000105,-49.99999989994861,1682.7155172414393,1150.0000000000095,-749.9999999999484,16.703999999999997
6,Xp,1599.9999999000372,-700.00000009999,-830.0000000999481,1700.0000001000428,700.00000010001,-49.9999998999477,1681.871961102147,1.0632691281839998e-11,-439.99999999994765,14.807999999999996
10,Xp,1599.9999999000386,-700.000000099991,-1450.0000000999503,1700.0000001000415,700.0000001000091,-1199.9999998999497,1650.00000000004,9.037152092821495e-12,-1324.99999999995,9.607999999999999
11,Yp,-190.00000009994568,1599.9999999000077,-1450.0000000999587,1210.0000001000617,1700.0000001000121,-49.999999899951455,510.00000000005747,1684.830921801343,-749.9999999999546,24.603999999999992
13,Yp,1209.9999999000158,1599.9999998999706,-1450.0000000999505,1700.0000001000242,1700.0000001000094,-1199.9999998999492,1455.0000000000186,1669.2959143197045,-1324.99999999995,2.521
15,Yp,-1600.0000000999946,1599.999999900006,-1450.0000000998339,-1299.9999998999053,1700.000000100014,-49.99999989981435,-1449.99999999995,1674.0697674418705,-749.999999999824,7.224000000000002
17,Yp,-1300.0000000999503,1599.9999999000083,-830.0000000998986,-189.99999989990178,1700.0000001000117,-49.999999899829355,-744.999999999926,1681.002994011986,-439.99999999986403,12.02400000000001
20,Yp,1209.9999999000572,1599.999999900008,-830.0000000999464,1700.0000001000628,1700.000000100012,-49.9999998999435,1455.00000000006,1676.4723320158203,-439.999999999945,6.071999999999998
22,Xm,-1700.000000099993,849.9999999000078,-1450.0000000998195,-1599.999999899907,1700.0000001000124,-49.999999899810824,-1682.3884629885135,1275.0000000000098,-749.9999999998129,15.913999999999993
25,Xm,-1700.000000099974,-1600.0000001000003,-1450.0000000999735,-1599.999999899966,-679.9999998999998,-49.9999998999728,-1682.8378378378077,-1139.9999999999998,-749.9999999999729,17.020000000000007
28,Xm,-1700.0000000999753,-280.0000001000013,-1450.0000000998184,-1599.9999998999647,240.00000009999923,-49.9999998998175,-1679.018691588755,-20.000000000001044,-749.9999999998183,10.699999999999996
30,Xm,-1700.0000000999535,239.9999999000066,-830.0000000998142,-1599.9999998999065,850.0000001000075,-49.999999899807754,-1677.9318936876375,545.000000000007,-439.99999999980935,7.224
33,Xm,-1700.0000000999732,-680.0000001000016,-830.0000000998104,-1599.9999998999667,-279.9999999000004,-49.999999899809445,-1674.9539170506612,-480.0000000000011,-439.99999999981014,5.208
35,Zp,-1700.0000000999494,974.9999999000078,-50.000000099812176,692.8198904250106,1700.0000001000174,50.00000010019,-598.5752098555939,1357.4203373567382,32.81980229461627,20.89254970306977
37,Zp,-1700.000000099947,249.9999999000077,-50.00000009981,274.2409452625331,975.0000001000158,50.000000100192175,-808.8622620933293,625.1494696575011,32.322104669747546,17.1049875996186
39,Zp,-2104.338000099942,-250.0000001,-50.000000099817,-144.337999899942,250.0000001,50.000000100183,-1125.1230087686752,-3.617610295797331e-13,29.45681972930547,14.128382748764944
