idx,cx,cy,cz,xmin,ymin,zmin,xmax,ymax,zmax,dx,dy,dz,vol_mm3
0,1682.7155172414193,-1149.9999999999902,-749.9999999999476,1599.9999999000322,-1600.0000000999905,-1450.0000000999485,1700.0000001000476,-699.9999998999896,-49.9999998999477,100.00000020001539,900.000000200001,1400.0000002000008,16704000.000000011
1,1605.00000000004,-1149.9999999999895,-749.9999999999483,1599.9999999000324,-1590.0000000999896,-1440.0000000999482,1610.0000001000476,-709.9999998999896,-59.99999989994816,10.000000200015165,880.0000002,1380.0000002000002,12143999.999999998
2,1650.00000000004,-1149.9999999999961,-749.9999999999482,1609.9999999000365,-1155.0000000999964,-1440.0000000999482,1690.0000001000435,-1144.9999998999956,-59.9999998999477,80.00000020000698,10.00000020000084,1380.0000002000006,1104000.0
3,1682.7155172414393,1150.0000000000095,-749.9999999999484,1599.9999999000518,699.9999999000096,-1450.0000000999494,1700.000000100068,1600.0000001000105,-49.99999989994861,100.0000002000163,900.000000200001,1400.0000002000008,16703999.999999996
4,1605.00000000006,1150.0000000000105,-749.9999999999492,1599.999999900052,709.9999999000104,-1440.0000000999491,1610.000000100068,1590.0000001000105,-59.99999989994907,10.000000200016075,880.0000002000002,1380.0000002000002,12144000.0
5,1650.00000000006,1150.0000000000039,-749.999999999949,1609.9999999000565,1144.9999999000036,-1440.0000000999491,1690.0000001000635,1155.0000001000046,-59.99999989994861,80.00000020000698,10.000000200001068,1380.0000002000006,1104000.0
6,1681.871961102147,1.0632691281839998e-11,-439.99999999994765,1599.9999999000372,-700.00000009999,-830.0000000999481,1700.0000001000428,700.00000010001,-49.9999998999477,100.00000020000562,1400.0000002,780.0000002000004,14807999.999999996
7,1605.00000000004,9.979549794390036e-12,-439.9999999999482,1599.9999999000374,-690.0000000999903,-820.0000000999485,1610.0000001000426,690.0000001000103,-59.99999989994793,10.00000020000516,1380.0000002000006,760.0000002000005,10488000.0
8,1650.0000000000402,-254.99999999998994,-439.99999999994776,1609.9999999000381,-260.0000000999901,-820.0000000999481,1690.0000001000424,-249.99999989998994,-59.9999998999477,80.00000020000425,10.00000020000013,760.0000002000004,607999.9999999962
9,1650.0000000000398,255.00000000001,-439.99999999994776,1609.9999999000377,249.99999990000995,-820.0000000999481,1690.0000001000417,260.0000001000101,-59.9999998999477,80.00000020000402,10.00000020000013,760.0000002000004,607999.9999999994
